symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,messageBoardId,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
04ZY.Z,ZRH,,3600000,STX EM 1500 GR DL,1,finmb_INDEX04ZY.Z,INDEX,STX EM 1500 GR DL,04ZY.Z,Europe/Zurich,CET,04ZY.Z,4f1b934b-0458-3a51-ab8b-658558700acd
05I6.Z,ZRH,,3600000,EURO STO.E.X EX NP.NR EUR,1,,INDEX,EURO STO.E.X EX NP.NR EUR,05I6.Z,Europe/Zurich,CET,05I6.Z,5696c48f-512a-3539-9cd3-c980ba238906
05LF.Z,ZRH,,3600000,ST.G.1800 E.X EX NP.NR DL,1,,INDEX,ST.G.1800 E.X EX NP.NR DL,05LF.Z,Europe/Zurich,CET,05LF.Z,06cba91a-1611-3bdb-a35b-904486c38a27
069140.KQ,KOE,2010-10-26 00:00:00,32400000,"Nuriplan Co., Ltd.",1,,EQUITY,Nuriplan,069140.KQ,Asia/Seoul,KST,069140.KQ,8858b441-27ee-35c8-b265-a032282e1b3c
071556.TW,TAI,,28800000,,1,,EQUITY,,071556.TW,Asia/Taipei,CST,071556.TW,
073794.TW,TAI,,28800000,,1,,EQUITY,,073794.TW,Asia/Taipei,CST,073794.TW,
074413.TW,TAI,,28800000,,1,,EQUITY,,074413.TW,Asia/Taipei,CST,074413.TW,
078261.TW,TAI,,28800000,,1,,EQUITY,,078261.TW,Asia/Taipei,CST,078261.TW,
078467.TW,TAI,,28800000,,1,,EQUITY,,078467.TW,Asia/Taipei,CST,078467.TW,
078520.TW,TAI,,28800000,,1,,EQUITY,,078520.TW,Asia/Taipei,CST,078520.TW,f001a4e0-8803-3127-8381-0b67add7f228
079080.TW,TAI,,28800000,,1,,EQUITY,,079080.TW,Asia/Taipei,CST,079080.TW,
07S.MU,MUN,2016-04-27 06:00:00,3600000,SecureWorks Corp,1,,EQUITY,"SECUREWORKS C. A  DL-,01",07S.MU,Europe/Berlin,CET,07S.MU,f46ecdcf-bad3-3fbc-964b-55b000de0f12
080466.TW,TAI,,28800000,,1,,EQUITY,,080466.TW,Asia/Taipei,CST,080466.TW,
081336.TW,TAI,,28800000,,1,,EQUITY,,081336.TW,Asia/Taipei,CST,081336.TW,
082570.TW,TAI,,28800000,,1,,EQUITY,,082570.TW,Asia/Taipei,CST,082570.TW,
083206.TW,TAI,,28800000,,1,,EQUITY,,083206.TW,Asia/Taipei,CST,083206.TW,
084618.TW,TAI,,28800000,,1,,EQUITY,,084618.TW,Asia/Taipei,CST,084618.TW,
084681.TW,TAI,,28800000,,1,,EQUITY,,084681.TW,Asia/Taipei,CST,084681.TW,
084923.TW,TAI,,28800000,,1,,EQUITY,,084923.TW,Asia/Taipei,CST,084923.TW,
085530.TW,TAI,,28800000,,1,,EQUITY,,085530.TW,Asia/Taipei,CST,085530.TW,
085920.TW,TAI,,28800000,,1,,EQUITY,,085920.TW,Asia/Taipei,CST,085920.TW,
086001.TW,TAI,,28800000,,1,,EQUITY,,086001.TW,Asia/Taipei,CST,086001.TW,
086230.TW,TAI,,28800000,,1,,EQUITY,,086230.TW,Asia/Taipei,CST,086230.TW,
086632.TW,TAI,,28800000,,1,,EQUITY,,086632.TW,Asia/Taipei,CST,086632.TW,
08681P.TW,TAI,,28800000,,1,,EQUITY,,08681P.TW,Asia/Taipei,CST,08681P.TW,
087658.TW,TAI,,28800000,,1,,EQUITY,,087658.TW,Asia/Taipei,CST,087658.TW,
087904.TW,TAI,,28800000,,1,,EQUITY,,087904.TW,Asia/Taipei,CST,087904.TW,
088230.TW,TAI,,28800000,,1,,EQUITY,,088230.TW,Asia/Taipei,CST,088230.TW,
088853.TW,TAI,,28800000,,1,,EQUITY,,088853.TW,Asia/Taipei,CST,088853.TW,
088901.TW,TAI,,28800000,,1,,EQUITY,,088901.TW,Asia/Taipei,CST,088901.TW,
089259.TW,TAI,,28800000,,1,,EQUITY,,089259.TW,Asia/Taipei,CST,089259.TW,
089576.TW,TAI,,28800000,,1,,EQUITY,,089576.TW,Asia/Taipei,CST,089576.TW,
0902.HK,HKG,2000-01-04 01:30:00,28800000,"Huaneng Power International, Inc.",1,finmb_380351,EQUITY,HUANENG POWER,0902.HK,Asia/Hong_Kong,HKT,0902.HK,63db03d5-6290-3fbd-b30e-8f125a19499a
096350.KQ,KOE,,32400000,"DaeChang Solution Co., Ltd.",1,,EQUITY,DSOL,096350.KQ,Asia/Seoul,KST,096350.KQ,0c3414c4-23e0-3418-80ea-fc3da7b40226
0BFA.IL,IOB,2019-05-07 07:00:00,0,BASF SE,1,,EQUITY,BASF SE BASF SE ORD SHS,0BFA.IL,Europe/London,GMT,0BFA.IL,ad76d2f9-1107-3240-b0dd-50f27a0afca5
0CNH.Z,ZRH,,3600000,STX ES 20 NR EUR,1,,INDEX,STX ES 20 NR EUR,0CNH.Z,Europe/Zurich,CET,0CNH.Z,7f6e3ee2-af45-3905-856d-cfe23839d593
0DJ5.DE,GER,,3600000,IN.IS.BLOM.RO.SE.CO.JPY,1,finmb_INDEX0DJ5.DE,INDEX,IN.IS.BLOM.RO.SE.CO.JPY,0DJ5.DE,Europe/Berlin,CET,0DJ5.DE,b53fd79d-d420-3117-a567-bfa9d8a03f4d
0DRK.Z,ZRH,,3600000,STX GLB.1800 BANKS GR DL,1,,INDEX,STX GLB.1800 BANKS GR DL,0DRK.Z,Europe/Zurich,CET,0DRK.Z,1048dd3b-01c1-3698-b03d-8b110979e5ed
0EYG.IL,IOB,2011-04-11 07:00:00,0,KBC Group NV,1,,EQUITY,KBC GROEP NV KBC GROEP ORD SHS,0EYG.IL,Europe/London,GMT,0EYG.IL,b7085916-dce9-328a-a146-307a7f1e3a36
0FBX.L,LSE,,0,"Montebalito, S.A.",1,finmb_9382071,EQUITY,MONTEBALITO SA MONTEBALITO ORD ,0FBX.L,Europe/London,GMT,0FBX.L,7902762e-69b7-39b9-93ad-9857b370c940
0HC.MU,MUN,,3600000,,1,,EQUITY,MOJAVE BRANDS INC.,0HC.MU,Europe/Berlin,CET,0HC.MU,
0I76.DU,DUS,,3600000,,1,,ETF,SISF EURO BOND B DIS QF,0I76.DU,Europe/Berlin,CET,0I76.DU,
0J0D.DE,GER,,3600000,I.FTSE D.E.E.U.R.E.1C EO,1,finmb_INDEX0J0D.DE,INDEX,I.FTSE D.E.E.U.R.E.1C EO,0J0D.DE,Europe/Berlin,CET,0J0D.DE,de0f5e4e-fd13-3858-82c6-5568fcb19bc5
0K5T.DE,GER,,3600000,IN.IS.INCLU.+DIVERSITY SF,1,finmb_INDEX0K5T.DE,INDEX,IN.IS.INCLU.+DIVERSITY SF,0K5T.DE,Europe/Berlin,CET,0K5T.DE,f6288f05-bc6d-32eb-bef3-9569de3fb7ef
0KOD.L,LSE,,0,"Prologis, Inc.",1,finmb_330123,EQUITY,PROLOGIS INC PROLOGIS REIT,0KOD.L,Europe/London,GMT,0KOD.L,f7ffbf32-4be2-3d56-a06a-57198aefb50c
0L9X.L,LSE,,0,"Stitch Fix, Inc.",1,finmb_142659894,EQUITY,STITCH FIX INC STITCH FIX ORD S,0L9X.L,Europe/London,GMT,0L9X.L,ecd11bf3-5065-3a0d-9188-27588634dac9
0LCX.L,LSE,,0,"Take-Two Interactive Software, Inc.",1,finmb_371281,EQUITY,TAKE-TWO INTERACTIVE SOFTWARE I,0LCX.L,Europe/London,GMT,0LCX.L,6c9df3fe-5970-30c5-9a29-7c3f39caf78b
0MSJ.IL,IOB,2011-04-11 07:00:00,0,TGS ASA,1,,EQUITY,TGS NOPEC GEOPHYSICAL COMPANY A,0MSJ.IL,Europe/London,GMT,0MSJ.IL,9c1a5e67-fb85-33b1-9e77-7851e914a69b
0MZ.F,FRA,2021-02-03 07:00:00,3600000,Newpath Resources Inc.,1,finmb_614335000,EQUITY,NEWPATH RESOURCES INC.,0MZ.F,Europe/Berlin,CET,0MZ.F,69abbe76-87c4-3575-884e-8292ee18c866
0NIJ.L,LSE,,0,SAES Getters S.p.A.,1,finmb_397234,EQUITY,SAES GETTERS SPA SAES GETTERS O,0NIJ.L,Europe/London,GMT,0NIJ.L,6fdce236-151b-3f3b-818b-ae3c19a215ca
0OA9.L,LSE,,0,Nolato AB (publ),1,finmb_879697,EQUITY,NOLATO AB NOLATO B ORD SHS,0OA9.L,Europe/London,GMT,0OA9.L,580c1e42-2a85-3665-b827-65bdfb36efed
0P00000AQC.F,FRA,2022-03-14 07:00:00,3600000,Schroder International Selection Fund EURO Bond B Accumulation EUR,1,,MUTUALFUND,Schroder International Selectio,0P00000AQC.F,Europe/Berlin,CET,0P00000AQC.F,d023fab3-23f8-3703-919b-51e0b1af80c8
0P00000ARA,PNK,2022-03-15 13:30:00,-18000000,Schroder International Selection Fund US Smaller Companies C Distribution USD,1,,MUTUALFUND,Schroder International Selectio,0P00000ARA,America/New_York,EST,0P00000ARA,b831fcec-de9b-39e6-95ca-25d47004a81d
0P00000BMA,CAI,2022-03-14 08:00:00,7200000,Candriam Money Market USD Sustainable Classique Acc,1,,MUTUALFUND,Candriam Money Market USD Susta,0P00000BMA,Africa/Cairo,EET,0P00000BMA,c0460fc8-666a-356a-8087-8cb084553045
0P00000BYD.F,FRA,2022-03-14 07:00:00,3600000,BNP Paribas Funds Euro Money Market Classic Distribution,1,,MUTUALFUND,BNP Paribas Funds Euro Money Ma,0P00000BYD.F,Europe/Berlin,CET,0P00000BYD.F,62688fb7-2c60-3292-b702-72243c3391de
0P00000C3K,PNK,2022-03-14 13:30:00,-18000000,GAM Multibond - Local Emerging Bond USD A,1,,MUTUALFUND,GAM Multibond - Local Emerging ,0P00000C3K,America/New_York,EST,0P00000C3K,24f61873-5a66-3c5c-9b52-14172361477f
0P00000CSE.L,LSE,2018-01-02 08:00:00,0,HSBC Corporate Bond Fund Retail Acc,1,,MUTUALFUND,HSBC Corporate Bond Fund Retail,0P00000CSE.L,Europe/London,GMT,0P00000CSE.L,69e58e63-c839-3689-9903-efb53ae3918e
0P00000E2S.F,FRA,2022-03-14 07:00:00,3600000,BNP Paribas Funds Euro Bond Classic Capitalisation,1,,MUTUALFUND,BNP Paribas Funds Euro Bond Cla,0P00000E2S.F,Europe/Berlin,CET,0P00000E2S.F,b53b5216-6d2a-30ac-9292-c4f31c31c792
0P00000EVX.L,LSE,2018-01-02 08:00:00,0,ASI Diversified Income Fund A Inc,1,,MUTUALFUND,ASI Diversified Income Fund A I,0P00000EVX.L,Europe/London,GMT,0P00000EVX.L,bb815dc2-9990-30eb-886b-1d59c85b63fd
0P00000EWP.F,STU,2022-03-15 07:00:00,3600000,Raiffeisen-Technologie-Aktien VT,1,,MUTUALFUND,,0P00000EWP.F,Europe/Berlin,CET,0P00000EWP.F,91ccca0f-41f8-3438-b98e-31831c8f00db
0P00000F7C.F,FRA,2018-01-02 07:00:00,3600000,La Française Séréni Flex R,1,,MUTUALFUND,La Française Séréni Flex R,0P00000F7C.F,Europe/Berlin,CET,0P00000F7C.F,d53663bb-84bf-3e60-b71f-0ab7a929efca
0P00000GWF.F,FRA,2018-01-02 07:00:00,3600000,HSBC French Government Bonds ID,1,,MUTUALFUND,HSBC French Government Bonds ID,0P00000GWF.F,Europe/Berlin,CET,0P00000GWF.F,3d491c09-2f2a-3e25-99ad-c74a92d86a4c
0P00000J96,PNK,2022-03-14 13:30:00,-18000000,Pictet-USD Government Bonds P dy USD,1,,MUTUALFUND,Pictet-USD Government Bonds P d,0P00000J96,America/New_York,EST,0P00000J96,c7278470-0bf5-33ec-b274-5228dac33f5f
0P00000KIU.ST,STO,2022-03-14 08:00:00,3600000,Carnegie Likviditetsfond A,1,,MUTUALFUND,Carnegie Likviditetsfond A,0P00000KIU.ST,Europe/Stockholm,CET,0P00000KIU.ST,2ab6b6d0-b3a4-332d-9e7f-3869ae0d5354
0P00000KVX,PNK,2022-03-14 13:30:00,-18000000,Gutzwiller ONE,1,,MUTUALFUND,Gutzwiller ONE,0P00000KVX,America/New_York,EST,0P00000KVX,6e729b01-c054-3652-b548-b87b0a3d4758
0P00000M2R,PNK,2022-03-14 13:30:00,-18000000,KBC Equity Fund - Medical Technologies Classic Dis,1,,MUTUALFUND,KBC Equity Fund - Medical Techn,0P00000M2R,America/New_York,EST,0P00000M2R,ed1fe562-abf1-3b61-a64a-1f2101f146e9
0P00000PCB.F,FRA,2018-01-01 07:00:00,3600000,Profit Corto Plazo FI,1,,MUTUALFUND,Profit Corto Plazo FI,0P00000PCB.F,Europe/Berlin,CET,0P00000PCB.F,89ab8eca-e3ba-30d1-ac2a-87b96fe06823
0P00000QKK.F,FRA,2018-01-02 07:00:00,3600000,Covéa Actions France D,1,,MUTUALFUND,Covéa Actions France D,0P00000QKK.F,Europe/Berlin,CET,0P00000QKK.F,d834151b-6901-3547-b8dd-2694982b8b3f
0P00000R5K.L,LSE,2018-01-02 08:00:00,0,Invesco Managed Growth Fund (UK) (Acc),1,,MUTUALFUND,Invesco Managed Growth Fund (UK,0P00000R5K.L,Europe/London,GMT,0P00000R5K.L,63bec082-e36a-3e3e-a8ba-a99dc28a1bcf
0P00000R8Z.L,MEX,2018-01-02 14:30:00,-21600000,Schroder UK Mid 250 Fund A Accumulation GBP,1,,MUTUALFUND,Schroder UK Mid 250 Fund A Accu,0P00000R8Z.L,America/Mexico_City,CST,0P00000R8Z.L,e7d62d3f-1c53-33c7-96be-841c77785add
0P00000RUT.F,FRA,2018-01-02 07:00:00,3600000,AXA Amérique Actions AD,1,,MUTUALFUND,AXA Amérique Actions AD,0P00000RUT.F,Europe/Berlin,CET,0P00000RUT.F,0fa6fd23-c77e-3bed-83ee-78464662563d
0P00000T33.F,FRA,2022-03-14 07:00:00,3600000,GAM Multibond - ABS EUR C,1,,MUTUALFUND,GAM Multibond - ABS EUR C,0P00000T33.F,Europe/Berlin,CET,0P00000T33.F,bc623b86-0b25-342b-a3e4-1d8b03d45faa
