symbol,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,gmtOffSetMilliseconds,maxAge
22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF
IM.F,YHD,MUTUALFUND,IM.F,IM.F,,,,America/New_York,EST,,-18000000,1
0DQ3.Z,ZRH,,3600000,,1,INDEX,STX GL.1800 CO.+MAT.GR EO,0DQ3.Z,Europe/Zurich,CET,0DQ3.Z,
0EX8.DE,GER,,3600000,,1,INDEX,IN.JPM.DL EM BD.MN H.A.LS,0EX8.DE,Europe/Berlin,CET,0EX8.DE,
0HJH.L,LSE,,0,"Autoliv, Inc.",1,EQUITY,AUTOLIV INC AUTOLIV ORD SHS,0HJH.L,Europe/London,GMT,0HJH.L,14134ce0-a82d-3a9d-b538-231dda09aa97
0IL6.L,LSE,,0,"F5, Inc.",1,EQUITY,F5 NETWORKS INC F5 NETWORKS ORD,0IL6.L,Europe/London,GMT,0IL6.L,285c75f3-e0d6-3ce5-ab3d-eb9d9014dd68
0JGQ.DE,GER,,3600000,,1,INDEX,IN.IS.MSCI EMU USD HED.EO,0JGQ.DE,Europe/Berlin,CET,0JGQ.DE,
0JH8.DE,GER,,3600000,,1,INDEX,I.XTRA.JPX N.400 2D YN,0JH8.DE,Europe/Berlin,CET,0JH8.DE,
0JKF.IL,IOB,,0,Jackson Financial Inc.,1,EQUITY,JACKSON FINANCIAL INC JACKSON F,0JKF.IL,Europe/London,GMT,0JKF.IL,45413f7c-498d-3180-a029-9e7072c7986f
0JM.F,FRA,2012-03-28 06:00:00,3600000,PT Jasa Marga (Persero) Tbk,1,EQUITY,JASA MARGA (PERSERO)RP500,0JM.F,Europe/Berlin,CET,0JM.F,5d8f21bc-0b6d-34b9-a8ce-c42084846c13
0KD.DU,DUS,2021-05-28 06:00:00,3600000,,1,EQUITY,"KORNIT DIGITAL  IS -,01",0KD.DU,Europe/Berlin,CET,0KD.DU,1d2a55cf-7b49-3df6-be2d-ab6559ecaaa2
0KQX.Z,ZRH,,3600000,,1,INDEX,ISTX EUROPE CAR.FAC.GR EO,0KQX.Z,Europe/Zurich,CET,0KQX.Z,
0LV1.Z,ZRH,,3600000,,1,INDEX,ST.GL.1800 IND.INDU.NR EO,0LV1.Z,Europe/Zurich,CET,0LV1.Z,
0MK9.Z,ZRH,,3600000,,1,INDEX,ST.GL.1800 IN.UTILI.PR DL,0MK9.Z,Europe/Zurich,CET,0MK9.Z,
0NKZ.Z,ZRH,,3600000,,1,INDEX,STX DE.M.2400 ESG-X GR DL,0NKZ.Z,Europe/Zurich,CET,0NKZ.Z,
0NWF.IL,IOB,2011-04-11 07:00:00,0,L'Air Liquide S.A.,1,EQUITY,AIR LIQUIDE SA AIR LIQUIDE ORD ,0NWF.IL,Europe/London,GMT,0NWF.IL,01c7e163-5399-39a7-850a-a63b903732ce
0OF7.IL,IOB,2011-02-09 08:00:00,0,"EDP - Energias de Portugal, S.A.",1,EQUITY,EDP ENERGIAS DE PORTUGAL SA ENE,0OF7.IL,Europe/London,GMT,0OF7.IL,d1b17830-7ee8-3154-a090-5e3675eebda4
0OP.BE,BER,2018-03-21 07:00:00,3600000,,1,EQUITY,"OPTINOSE INC.  DL-,001",0OP.BE,Europe/Berlin,CET,0OP.BE,d3fcadbf-4c87-32d8-9d06-f06106841dda
0P00000DTZ,,,,,1,NONE,,0P00000DTZ,,,0P00000DTZ,75254de8-bb96-369e-954f-922930ccdb34
0P00000DWE.F,FRA,2018-01-02 07:00:00,3600000,Gesconsult Corto Plazo A FI,1,MUTUALFUND,Gesconsult Corto Plazo A FI,0P00000DWE.F,Europe/Berlin,CET,0P00000DWE.F,7cf7dca5-f27b-393e-a3db-037878ea1753
